"Жилая площадь, м^2","Площадь кухни, м^2","Общая площадь, м^2",Этаж,"Стоимость, р.",Количество комнат,Тип жилья,Планировка,Высота потолков,Санузел,Ремонт,Вид из окон,Балкон/лоджия,Количество пассажирских лифтов,Год постройки,Количество грузовых лифтов,Количество этажей,Технология строительства,Район,Станция метро,Широта,Долгота
45.1,18.3,88.0,11,26900000,3,,,,,,,,2,2021.0,2,17,monolith,Василеостровский,Приморская,59.941479,30.193841
13.0,20.0,47.5,22,7200000,1,,,,,,,,1,2015.0,1,24,monolith,Пушкинский,Купчино,59.811609,30.364045
17.5,0.0,26.3,19,5950000,0,,,,,,,,3,2017.0,0,25,monolith,Красногвардейский,Лесная,59.977976,30.436638
34.0,11.0,58.0,7,13500000,2,,,,,,,,1,2009.0,0,10,panel,Кировский,Автово,59.866775,30.270126
34.4,10.5,59.8,5,18900000,2,,,,,,,,1,2005.0,0,6,monolithBrick,Адмиралтейский,Балтийская,59.913735,30.296384
64.0,10.1,104.2,1,15800000,4,,,,,,,,1,2013.0,1,18,panel,Московский,Московская,59.833068,30.31232
47.1,7.8,69.1,5,8300000,3,,,,,,,,0,1976.0,0,5,brick,Пушкинский,,59.705881,30.367557
30.0,8.5,51.5,3,8600000,2,,,,,,,,1,1995.0,0,10,panel,Красногвардейский,Ладожская,59.984247,30.522894
15.3,12.5,36.5,9,8200000,1,,,,,,,,1,,1,16,,Красногвардейский,,59.970303,30.418851
48.6,8.8,72.0,7,12500000,3,,,,,,,,1,1979.0,1,12,panel,Московский,Московская,59.836879,30.314925
72.0,18.0,110.0,2,43000000,3,,,,,,,,1,1914.0,0,6,brick,Петроградский,Горьковская,59.95553,30.327034
33.5,8.5,53.6,9,8800000,2,,,,,,,,1,1967.0,0,9,brick,Красносельский,,59.834379,30.152132
20.0,6.0,32.3,5,11850000,0,,,,,,,,4,2019.0,1,8,monolith,Центральный,Площадь Александра Невского,59.926841,30.384598
17.6,16.3,53.27,9,9900000,1,,,,,,,,1,2021.0,1,13,monolithBrick,Кировский,Нарвская,59.907347,30.250192
31.0,14.2,68.4,20,15800000,2,,,,,,,,3,,1,23,monolithBrick,Василеостровский,Приморская,59.938486,30.196437
17.0,5.0,27.0,13,7050000,0,,,,,,,,2,2019.0,1,25,monolith,Приморский,Комендантский проспект,60.033773,30.214826
27.8,5.6,41.7,7,7300000,2,,,,,,,,1,1963.0,0,8,panel,Кировский,Ленинский проспект,59.847236,30.258268
15.0,15.5,33.67,3,11000000,1,,,,,,,,2,2021.0,1,12,monolith,Василеостровский,Приморская,59.955967,30.252887
52.0,10.2,93.0,8,14150000,3,,,,,,,,1,2006.0,1,16,panel,Красносельский,Проспект Ветеранов,59.790023,30.14667
59.5,18.9,117.2,4,24373920,3,,,,,,,,1,2021.0,1,11,,Выборгский,Черная речка,59.997477,30.328838
17.9,0.0,24.6,12,4750000,0,,,,,,,,2,2019.0,0,13,brick,Красносельский,Проспект Ветеранов,59.843923,30.110639
85.5,16.6,138.7,4,28950000,4,,,,,,,,1,2001.0,0,5,brick,Пушкинский,,59.740135,30.399986
18.0,5.0,27.3,6,8800000,0,,,,,,,,0,2020.0,1,6,monolith,Василеостровский,Приморская,59.941479,30.193841
20.0,6.0,37.5,1,6950000,1,,,,,,,,0,1961.0,0,3,brick,Пушкинский,Купчино,59.717259,30.410757
10.0,15.0,32.0,10,9990000,1,,,,,,,,1,,1,12,monolithBrick,Московский,Бухарестская,59.873162,30.34827
0.0,0.0,28.8,1,6359000,0,,,,,,,,0,2009.0,0,20,brick,Московский,Электросила,59.873735,30.310505
13.6,11.8,42.5,19,8700000,1,,,,,,,,4,2018.0,4,19,monolith,Василеостровский,Приморская,59.936999,30.204055
15.3,6.7,29.3,6,4200000,1,,,,,,,,1,1976.0,0,9,panel,Колпинский,,59.738548,30.576424
18.4,12.5,46.1,8,8800000,1,,,,,,,,1,1989.0,0,10,panel,Невский,Улица Дыбенко,59.901242,30.494265
33.0,13.0,59.6,3,15500000,2,,,,,,,,0,1957.0,0,3,wood,Пушкинский,,59.72059,30.398935
0.0,0.0,87.1,1,17500000,4,,,,,,,,1,1908.0,0,6,brick,Центральный,Площадь Восстания,59.936021,30.370162
64.2,19.2,106.3,3,19150000,4,,,,,,,,1,1914.0,0,6,brick,Центральный,Чернышевская,59.943701,30.360101
59.2,15.4,105.2,1,19222272,3,,,,,,,,1,2021.0,1,11,,Выборгский,Черная речка,59.997477,30.328838
17.8,6.3,30.5,9,5300000,1,,,,,,,,1,1970.0,0,9,panel,Красносельский,Проспект Ветеранов,59.836201,30.17026
15.0,3.0,24.0,4,5570000,0,,,,,,,,0,,0,11,,Невский,Рыбацкое,59.831679,30.523568
13.0,20.0,40.0,5,6500000,1,,,,,,,,0,2016.0,4,25,monolith,Выборгский,Парнас,60.069557,30.312841
20.1,7.5,35.2,5,6800000,1,,,,,,,,2,1972.0,0,14,brick,Красносельский,Проспект Ветеранов,59.830006,30.177276
15.8,9.2,34.1,3,7300000,1,,,,,,,,1,1981.0,1,12,monolith,Фрунзенский,Дунайская,59.845537,30.415114
0.0,10.1,35.3,16,7500000,1,,,,,,,,2,2017.0,1,23,monolith,Выборгский,Парнас,60.079639,30.33608
0.0,14.0,45.0,3,8150000,1,,,,,,,,1,1990.0,0,9,panel,Приморский,Комендантский проспект,60.022827,30.25675
