"Жилая площадь, м^2","Площадь кухни, м^2","Общая площадь, м^2",Этаж,"Стоимость, р.",Количество комнат,Тип жилья,Планировка,Высота потолков,Санузел,Ремонт,Вид из окон,Балкон/лоджия,Количество пассажирских лифтов,Год постройки,Количество грузовых лифтов,Количество этажей,Технология строительства,Район,Станция метро,Широта,Долгота
0.0,29.4,91.0,15,25500000,3,,,,,,,,2,2014.0,1,15,monolithBrick,Невский,Новочеркасская,59.916284,30.439548
18.0,5.0,27.3,6,8800000,0,,,,,,,,0,2020.0,1,6,monolith,Василеостровский,Приморская,59.941479,30.193841
15.5,10.4,38.7,23,13500000,1,,,,,,,,1,,1,24,monolith,Московский,Московская,59.853338,30.344605
13.0,20.0,47.5,22,7200000,1,,,,,,,,1,2015.0,1,24,monolith,Пушкинский,Купчино,59.811609,30.364045
22.2,10.5,42.3,8,8800000,1,,,,,,,,1,2010.0,1,16,monolith,Невский,Ладожская,59.930651,30.458952
0.0,18.0,76.2,21,11500000,3,,,,,,,,2,2017.0,1,25,monolithBrick,Выборгский,Парнас,60.079792,30.348809
21.8,0.0,32.6,13,8100000,0,,,,,,,,2,2018.0,1,19,brick,Приморский,Пионерская,60.006206,30.282882
47.1,7.8,69.1,5,8300000,3,,,,,,,,0,1976.0,0,5,brick,Пушкинский,,59.705881,30.367557
13.0,2.0,15.0,4,4100000,0,,,,,,,,2,2020.0,2,15,monolith,Выборгский,Лесная,59.982064,30.333628
34.0,11.0,58.0,7,13500000,2,,,,,,,,1,2009.0,0,10,panel,Кировский,Автово,59.866775,30.270126
38.6,6.1,56.6,1,8900000,3,,,,,,,,1,1986.0,0,9,panel,Приморский,Комендантский проспект,60.009917,30.269758
18.0,0.0,24.0,2,4850000,0,,,,,,,,0,,1,5,monolithBrick,Московский,Московская,59.760235,30.319488
17.5,0.0,26.3,19,6750000,0,,,,,,,,3,2017.0,0,25,monolith,Красногвардейский,Лесная,59.977976,30.436638
17.6,16.3,53.27,9,9900000,1,,,,,,,,1,2021.0,1,13,monolithBrick,Кировский,Нарвская,59.907347,30.250192
20.0,6.0,37.5,1,6950000,1,,,,,,,,0,1961.0,0,3,brick,Пушкинский,Купчино,59.717259,30.410757
59.5,18.9,117.2,4,24373920,3,,,,,,,,1,2021.0,1,11,,Выборгский,Черная речка,59.997477,30.328838
85.5,16.6,138.7,4,28950000,4,,,,,,,,1,2001.0,0,5,brick,Пушкинский,,59.740135,30.399986
15.3,6.7,29.3,6,4200000,1,,,,,,,,1,1976.0,0,9,panel,Колпинский,,59.738548,30.576424
28.5,7.1,45.7,7,7500000,2,,,,,,,,1,1974.0,0,9,,Невский,Проспект Большевиков,59.919617,30.47902
18.4,12.5,46.1,8,8800000,1,,,,,,,,1,1989.0,0,10,panel,Невский,Улица Дыбенко,59.901242,30.494265
48.0,11.0,75.9,6,12500000,3,,,,,,,,1,1913.0,0,6,brick,Адмиралтейский,Нарвская,59.903706,30.274222
33.0,13.0,59.6,3,15500000,2,,,,,,,,0,1957.0,0,3,wood,Пушкинский,,59.72059,30.398935
0.0,0.0,87.1,1,17500000,4,,,,,,,,1,1908.0,0,6,brick,Центральный,Площадь Восстания,59.936021,30.370162
